Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
D300703.lib1.stats.tsv	19792672.0	0.0	19792672.0	1.0	9896336.0	9896336.0	18239899.0	17966250.0	1552773.0	17148462.0	19792672.0	0.0	161755.0	0.0	0.0	0.0	2927867464.0	1463937412.0	1463930052.0	2699492378.0	2699492378.0	0.0	0.0	7570700.0	0.00280449	148.0	148.0	148.0	150.0	150.0	150.0	39.5	265.3	94.4	8481386.0	370003.0	1024.0	130712.0	86.6	92.15480860795348	90.77223125811412	7.845191392046511	86.6404596610301	100.0	0.0	0.817246908350727	0.0
D300704.lib1.stats.tsv	2834738.0	0.0	2834738.0	1.0	1417369.0	1417369.0	2483525.0	2443374.0	351213.0	2285120.0	2834738.0	0.0	24884.0	0.0	0.0	0.0	419064267.0	209531611.0	209532656.0	367580483.0	367580483.0	0.0	0.0	1170361.0	0.003183959	148.0	148.0	148.0	150.0	150.0	150.0	39.3	274.6	102.7	1151797.0	48648.0	150.0	21092.0	80.6	87.61038939048336	86.19399746996018	12.389610609516646	80.61132986540555	100.0	0.0	0.8778236295558884	0.0
D300705.lib1.stats.tsv	34074456.0	0.0	34074456.0	1.0	17037228.0	17037228.0	31170063.0	30753944.0	2904393.0	28966606.0	34074456.0	0.0	477275.0	0.0	0.0	0.0	5041935574.0	2520995085.0	2520940489.0	4611987378.0	4611987378.0	0.0	0.0	18482487.0	0.004007489	148.0	148.0	148.0	150.0	150.0	150.0	39.4	267.2	96.4	14346174.0	634639.0	1306.0	394853.0	85.0	91.47633347396655	90.25512835773519	8.52366652603346	85.00973867345087	100.0	0.0	1.400682669739467	0.0
D300706.lib1.stats.tsv	31426738.0	0.0	31426738.0	1.0	15713369.0	15713369.0	29048610.0	28649590.0	2378128.0	25668966.0	31426738.0	0.0	349331.0	0.0	0.0	0.0	4660378530.0	2330225623.0	2330152907.0	4307696961.0	4307696961.0	0.0	0.0	15660307.0	0.003635424	148.0	148.0	148.0	150.0	150.0	150.0	39.4	287.6	112.1	13345040.0	494921.0	1975.0	482859.0	81.7	92.43278764725757	91.16310448764997	7.567212352742432	81.67874756839224	100.0	0.0	1.1115725723745176	0.0
D300707.lib1.stats.tsv	2589124.0	0.0	2589124.0	1.0	1294562.0	1294562.0	2199015.0	2166810.0	390109.0	1941736.0	2589124.0	0.0	42338.0	0.0	0.0	0.0	383615607.0	191813994.0	191801613.0	326339554.0	326339554.0	0.0	0.0	1599290.0	0.004900693	148.0	148.0	148.0	150.0	150.0	150.0	39.2	287.4	111.6	1013985.0	35623.0	86.0	33711.0	75.0	84.93278035350953	83.68892335786158	15.067219646490473	74.99586732810016	100.0	0.0	1.6352248868729344	0.0
D300708.lib1.stats.tsv	48045392.0	0.0	48045392.0	1.0	24022696.0	24022696.0	42657346.0	42034014.0	5388046.0	36520802.0	48045392.0	0.0	911488.0	0.0	0.0	0.0	7141041386.0	3570572568.0	3570468818.0	6340428821.0	6340428821.0	0.0	0.0	32279660.0	0.005091085	149.0	149.0	149.0	150.0	150.0	150.0	39.4	295.7	115.2	19493513.0	596724.0	2137.0	924633.0	76.0	88.78550933667061	87.48812789372184	11.214490663329379	76.01312109182084	100.0	0.0	1.8971392719618145	0.0
D300709.lib1.stats.tsv	37521506.0	0.0	37521506.0	1.0	18760753.0	18760753.0	33446021.0	32999376.0	4075485.0	30462968.0	37521506.0	0.0	738992.0	0.0	0.0	0.0	5551862839.0	2776125173.0	2775737666.0	4949375649.0	4949375649.0	0.0	0.0	25260612.0	0.005103798	148.0	148.0	148.0	150.0	150.0	150.0	39.4	271.6	101.4	15334861.0	659126.0	1022.0	504679.0	81.2	89.13826913024226	87.94789846654876	10.861730869757732	81.18802054480436	100.0	0.0	1.9695158291354296	0.0
D300710.lib1.stats.tsv	36504138.0	0.0	36504138.0	1.0	18252069.0	18252069.0	32715715.0	32223648.0	3788423.0	29252472.0	36504138.0	0.0	661393.0	0.0	0.0	0.0	5402756779.0	2701460179.0	2701296600.0	4842189171.0	4842189171.0	0.0	0.0	23383693.0	0.004829157	148.0	148.0	148.0	150.0	150.0	150.0	39.4	275.4	104.3	14812630.0	631266.0	1379.0	666549.0	80.1	89.6219354638644	88.2739595165896	10.378064536135602	80.13467404709023	100.0	0.0	1.8118302094957017	0.0
D300711.lib1.stats.tsv	35397378.0	0.0	35397378.0	1.0	17698689.0	17698689.0	31310342.0	30780958.0	4087036.0	28500526.0	35397378.0	0.0	812989.0	0.0	0.0	0.0	5242365921.0	2621236853.0	2621129068.0	4636919855.0	4636919855.0	0.0	0.0	26546763.0	0.005725086	148.0	148.0	148.0	150.0	150.0	150.0	39.4	269.5	96.3	14190194.0	586254.0	567.0	613464.0	80.5	88.45384536673875	86.95829956670802	11.546154633261255	80.51592408906671	100.0	0.0	2.2967492111986374	0.0
D300712.lib1.stats.tsv	48622308.0	0.0	48622308.0	1.0	24311154.0	24311154.0	43529480.0	42920780.0	5092828.0	40437846.0	48622308.0	0.0	1075709.0	0.0	0.0	0.0	7200361578.0	3600230227.0	3600131351.0	6446042034.0	6446042034.0	0.0	0.0	34597182.0	0.005367198	148.0	148.0	148.0	150.0	150.0	150.0	39.4	265.6	92.9	19961417.0	833651.0	611.0	664711.0	83.2	89.52573785678788	88.27384335601674	10.474262143212124	83.16726964092285	100.0	0.0	2.212377495531475	0.0
